age,workclass,fnlwgt,education,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income
64,4,69028,15,2,3,0,4,0,0,0,40,39,1
19,4,80121,15,0,4,1,4,1,0,0,40,0,0
41,4,66029,9,0,13,1,4,0,0,2375,40,39,0
58,4,330540,1,4,6,4,4,1,0,0,40,39,0
31,4,275734,13,0,3,1,4,0,0,1994,40,39,0
51,4,64103,15,2,0,3,4,1,0,2950,40,39,0
36,6,32165,11,6,3,1,4,1,0,0,40,39,0
25,4,46804,15,4,4,1,4,0,0,0,36,39,1
36,4,109864,11,4,12,1,1,1,14823,0,40,39,0
67,4,166125,9,2,12,1,4,1,0,0,46,10,0
36,2,139221,14,4,7,1,4,0,0,0,40,40,0
65,4,160466,15,0,4,0,4,0,0,0,40,39,0
31,4,231672,11,2,10,1,4,1,0,0,40,39,0
25,6,133408,9,4,4,1,4,0,98014,0,85,39,0
20,4,331929,9,4,3,3,4,1,0,0,40,39,0
36,6,110543,11,2,14,4,4,1,0,0,40,39,0
51,4,229526,15,4,4,3,4,0,0,0,45,5,0
36,6,49527,9,2,12,3,4,1,7268,0,58,13,0
64,4,178422,9,4,6,1,4,0,0,1678,46,39,0
51,6,198902,11,2,10,0,4,1,7865,0,40,39,0
36,6,158537,15,2,12,1,1,0,0,0,36,39,0
46,6,168826,9,4,3,3,2,0,0,0,21,39,0
25,0,162474,14,4,10,1,1,1,7458,0,50,39,1
25,4,221203,12,2,8,5,4,0,0,0,45,39,0
41,4,17926,11,4,4,5,4,1,0,0,21,24,0
32,4,141215,7,2,10,0,4,0,21826,0,40,39,0
45,4,128528,12,4,10,3,3,0,0,0,45,39,0
25,4,180838,11,2,10,0,4,1,0,0,40,39,0
19,0,220595,15,0,10,4,4,0,0,0,35,39,0
25,4,234077,15,4,4,1,2,0,0,0,40,39,0
45,4,254954,11,5,10,1,4,1,3053,0,57,39,0
45,4,224675,15,2,10,2,4,1,0,0,21,39,1
68,7,21674,15,6,4,1,2,0,0,0,40,39,0
41,7,92083,15,4,10,1,4,1,0,0,46,39,0
36,2,95948,15,4,3,1,4,0,0,0,45,39,0
